wavelength_angstrom,normalized_flux
3000.0,5.971939
3005.0,5.814907
3010.0,5.771564
3015.0,5.731503
3020.0,5.683269
3025.0,5.735149
3030.0,5.638408
3035.0,5.401394
3040.0,5.498282
3045.0,5.841066
3050.0,5.941651
3055.0,5.785479
3060.0,5.552856
3065.0,5.398837
3070.0,5.367253
3075.0,5.315893
3080.0,5.482522
3085.0,5.500899
3090.0,5.223540
3095.0,5.554707
3100.0,5.484124
3105.0,5.379871
3110.0,5.279605
3115.0,5.221808
3120.0,5.119831
3125.0,5.342257
3130.0,5.485099
3135.0,5.480998
3140.0,5.612635
3145.0,5.507904
3150.0,5.532061
3155.0,5.328234
3160.0,5.166493
3165.0,5.197739
3170.0,5.346070
3175.0,5.194400
3180.0,5.128516
3185.0,5.317911
3190.0,5.192187
3195.0,4.995240
3200.0,5.206753
3205.0,5.221575
3210.0,5.166111
3215.0,5.050961
3220.0,4.972603
3225.0,5.006505
3230.0,5.058197
3235.0,5.026184
3240.0,4.950800
3245.0,4.895947
3250.0,4.877960
3255.0,4.894646
3260.0,4.917277
3265.0,4.914338
3270.0,4.869710
3275.0,4.783184
3280.0,4.702780
3285.0,4.670805
3290.0,4.658464
3295.0,4.632662
3300.0,4.614202
3305.0,4.623649
3310.0,4.626714
3315.0,4.591790
3320.0,4.552841
3325.0,4.546081
3330.0,4.551141
3335.0,4.543365
3340.0,4.537524
3345.0,4.549705
3350.0,4.561830
3355.0,4.550755
3360.0,4.507220
3365.0,4.435151
3370.0,4.377327
3375.0,4.369135
3380.0,4.377543
3385.0,4.363707
3390.0,4.333958
3395.0,4.304155
3400.0,4.283082
3405.0,4.275353
3410.0,4.275971
3415.0,4.276608
3420.0,4.265217
3425.0,4.233133
3430.0,4.188930
3435.0,4.144489
3440.0,4.107692
3445.0,4.085762
3450.0,4.087293
3455.0,4.111459
3460.0,4.118385
3465.0,4.076693
3470.0,4.028049
3475.0,4.014975
3480.0,4.010396
3485.0,3.982135
3490.0,3.947222
3495.0,3.928568
3500.0,3.923391
3505.0,3.921433
3510.0,3.893388
3515.0,3.889443
3520.0,3.880658
3525.0,3.830814
3530.0,3.814696
3535.0,3.834871
3540.0,3.818630
3545.0,3.818092
3550.0,3.794167
3555.0,3.696530
3560.0,3.659395
3565.0,3.650049
3570.0,3.680582
3575.0,3.648825
3580.0,3.571475
3585.0,3.471413
3590.0,3.408137
3595.0,3.476251
3600.0,3.524038
3605.0,3.507688
3610.0,3.356801
3615.0,3.381783
3620.0,3.431667
3625.0,3.425624
3630.0,3.261467
3635.0,3.136677
3640.0,3.202793
3645.0,3.345595
3650.0,3.312058
3655.0,3.325443
3660.0,3.418818
3665.0,3.375718
3670.0,3.328568
3675.0,3.302985
3680.0,3.290415
3685.0,3.320544
3690.0,3.285413
3695.0,3.220087
3700.0,3.228397
3705.0,3.107885
3710.0,3.005776
3715.0,3.065190
3720.0,3.093637
3725.0,3.138946
3730.0,3.243495
3735.0,3.049475
3740.0,3.232852
3745.0,3.289948
3750.0,2.929734
3755.0,3.046643
3760.0,3.468405
3765.0,3.326405
3770.0,2.860492
3775.0,3.034937
3780.0,3.586085
3785.0,3.776028
3790.0,3.521263
3795.0,2.978046
3800.0,2.839961
3805.0,3.387672
3810.0,3.816152
3815.0,3.745923
3820.0,3.525727
3825.0,3.565331
3830.0,3.210390
3835.0,2.694164
3840.0,3.076944
3845.0,3.578598
3850.0,3.759456
3855.0,3.824715
3860.0,3.782958
3865.0,3.688611
3870.0,3.601552
3875.0,3.551936
3880.0,3.373902
3885.0,2.845550
3890.0,2.501479
3895.0,2.929452
3900.0,3.379952
3905.0,3.536813
3910.0,3.609508
3915.0,3.614762
3920.0,3.512522
3925.0,3.389810
3930.0,3.323628
3935.0,3.393064
3940.0,3.461202
3945.0,3.441312
3950.0,3.417727
3955.0,3.378992
3960.0,3.164324
3965.0,2.659329
3970.0,2.248477
3975.0,2.608026
3980.0,3.001701
3985.0,3.165159
3990.0,3.241049
3995.0,3.240166
4000.0,3.230253
4005.0,3.157909
4010.0,3.096981
4015.0,3.172653
4020.0,3.122188
4025.0,2.877033
4030.0,2.929866
4035.0,3.077777
4040.0,3.087286
4045.0,3.175038
4050.0,3.213320
4055.0,3.116931
4060.0,3.085961
4065.0,3.084708
4070.0,3.059137
4075.0,3.005296
4080.0,2.971486
4085.0,2.952060
4090.0,2.867760
4095.0,2.591692
4100.0,2.149446
4105.0,2.167321
4110.0,2.548773
4115.0,2.735971
4120.0,2.767631
4125.0,2.833624
4130.0,2.862646
4135.0,2.825358
4140.0,2.737658
4145.0,2.628227
4150.0,2.786593
4155.0,2.835952
4160.0,2.842440
4165.0,2.816301
4170.0,2.773066
4175.0,2.766789
4180.0,2.755231
4185.0,2.730326
4190.0,2.686859
4195.0,2.677982
4200.0,2.714231
4205.0,2.721984
4210.0,2.720759
4215.0,2.697517
4220.0,2.693889
4225.0,2.659734
4230.0,2.626695
4235.0,2.605708
4240.0,2.590581
4245.0,2.589172
4250.0,2.604575
4255.0,2.547142
4260.0,2.549258
4265.0,2.523395
4270.0,2.489111
4275.0,2.463656
4280.0,2.458614
4285.0,2.459490
4290.0,2.461924
4295.0,2.482646
4300.0,2.472606
4305.0,2.442727
4310.0,2.425000
4315.0,2.393155
4320.0,2.377279
4325.0,2.337607
4330.0,2.255592
4335.0,2.067229
4340.0,1.835712
4345.0,1.855470
4350.0,2.022283
4355.0,2.149607
4360.0,2.232780
4365.0,2.284420
4370.0,2.282140
4375.0,2.283331
4380.0,2.266987
4385.0,2.194873
4390.0,2.142298
4395.0,2.203018
4400.0,2.219077
4405.0,2.209287
4410.0,2.186551
4415.0,2.148588
4420.0,2.134948
4425.0,2.145330
4430.0,2.132454
4435.0,2.112474
4440.0,2.129309
4445.0,2.139076
4450.0,2.130476
4455.0,2.140576
4460.0,2.146483
4465.0,2.086292
4470.0,1.955813
4475.0,1.952270
4480.0,2.002162
4485.0,2.051013
4490.0,2.100254
4495.0,2.125201
4500.0,2.106462
4505.0,2.076426
4510.0,2.060728
4515.0,2.068532
4520.0,2.086284
4525.0,2.077404
4530.0,2.055975
4535.0,2.043013
4540.0,2.030876
4545.0,2.026095
4550.0,2.008183
4555.0,1.995458
4560.0,1.990925
4565.0,1.978252
4570.0,1.944404
4575.0,1.940980
4580.0,1.947758
4585.0,1.926267
4590.0,1.908990
4595.0,1.916422
4600.0,1.918184
4605.0,1.917347
4610.0,1.921688
4615.0,1.912589
4620.0,1.893018
4625.0,1.871629
4630.0,1.852686
4635.0,1.856363
4640.0,1.848923
4645.0,1.837211
4650.0,1.827933
4655.0,1.835683
4660.0,1.828972
4665.0,1.820781
4670.0,1.806281
4675.0,1.802189
4680.0,1.797372
4685.0,1.805057
4690.0,1.808752
4695.0,1.804976
4700.0,1.779521
4705.0,1.766340
4710.0,1.742962
4715.0,1.731358
4720.0,1.751269
4725.0,1.750152
4730.0,1.751833
4735.0,1.745822
4740.0,1.735015
4745.0,1.708242
4750.0,1.699021
4755.0,1.712188
4760.0,1.703783
4765.0,1.701770
4770.0,1.696095
4775.0,1.677686
4780.0,1.663576
4785.0,1.658984
4790.0,1.659386
4795.0,1.667816
4800.0,1.654731
4805.0,1.634315
4810.0,1.625626
4815.0,1.608445
4820.0,1.605326
4825.0,1.623643
4830.0,1.619688
4835.0,1.610691
4840.0,1.611197
4845.0,1.572273
4850.0,1.512239
4855.0,1.393284
4860.0,1.254738
4865.0,1.225882
4870.0,1.317316
4875.0,1.401607
4880.0,1.455734
4885.0,1.487450
4890.0,1.512528
4895.0,1.538677
4900.0,1.534495
4905.0,1.532297
4910.0,1.538958
4915.0,1.502838
4920.0,1.444197
4925.0,1.438424
4930.0,1.477429
4935.0,1.479590
4940.0,1.480588
4945.0,1.518751
4950.0,1.523403
4955.0,1.497363
4960.0,1.477817
4965.0,1.466313
4970.0,1.477004
4975.0,1.450813
4980.0,1.446844
4985.0,1.442851
4990.0,1.448093
4995.0,1.441282
5000.0,1.434377
5005.0,1.435336
5010.0,1.415106
5015.0,1.394601
5020.0,1.408087
5025.0,1.415129
5030.0,1.402486
5035.0,1.383056
5040.0,1.403965
5045.0,1.398243
5050.0,1.381918
5055.0,1.390189
5060.0,1.393225
5065.0,1.381874
5070.0,1.361840
5075.0,1.362360
5080.0,1.368428
5085.0,1.366931
5090.0,1.386400
5095.0,1.387563
5100.0,1.357293
5105.0,1.348269
5110.0,1.356001
5115.0,1.360705
5120.0,1.349444
5125.0,1.338666
5130.0,1.336544
5135.0,1.329757
5140.0,1.305545
5145.0,1.302223
5150.0,1.290555
5155.0,1.278480
5160.0,1.292476
5165.0,1.292758
5170.0,1.289792
5175.0,1.279274
5180.0,1.266760
5185.0,1.254722
5190.0,1.252715
5195.0,1.261785
5200.0,1.270464
