wavelength_angstrom,normalized_flux
3000.0,0.616080
3005.0,0.577021
3010.0,0.597678
3015.0,0.617861
3020.0,0.598388
3025.0,0.583737
3030.0,0.594049
3035.0,0.607266
3040.0,0.606734
3045.0,0.604165
3050.0,0.599472
3055.0,0.618446
3060.0,0.593717
3065.0,0.580870
3070.0,0.599105
3075.0,0.613616
3080.0,0.631150
3085.0,0.662547
3090.0,0.660800
3095.0,0.622261
3100.0,0.579472
3105.0,0.598962
3110.0,0.661416
3115.0,0.681560
3120.0,0.654425
3125.0,0.634487
3130.0,0.644352
3135.0,0.653377
3140.0,0.681704
3145.0,0.686711
3150.0,0.684810
3155.0,0.691087
3160.0,0.666523
3165.0,0.656977
3170.0,0.678370
3175.0,0.715865
3180.0,0.701628
3185.0,0.670592
3190.0,0.677157
3195.0,0.687171
3200.0,0.713513
3205.0,0.756049
3210.0,0.742787
3215.0,0.711364
3220.0,0.674674
3225.0,0.649263
3230.0,0.650180
3235.0,0.682009
3240.0,0.708976
3245.0,0.701222
3250.0,0.692902
3255.0,0.718907
3260.0,0.753063
3265.0,0.762785
3270.0,0.750915
3275.0,0.730499
3280.0,0.719988
3285.0,0.733676
3290.0,0.763824
3295.0,0.795833
3300.0,0.809709
3305.0,0.792912
3310.0,0.768124
3315.0,0.759299
3320.0,0.760286
3325.0,0.759637
3330.0,0.754847
3335.0,0.746466
3340.0,0.738337
3345.0,0.734806
3350.0,0.738931
3355.0,0.749588
3360.0,0.750214
3365.0,0.729218
3370.0,0.710339
3375.0,0.716278
3380.0,0.730266
3385.0,0.733179
3390.0,0.735953
3395.0,0.750432
3400.0,0.762035
3405.0,0.756248
3410.0,0.745254
3415.0,0.744332
3420.0,0.754463
3425.0,0.769657
3430.0,0.770351
3435.0,0.744543
3440.0,0.724031
3445.0,0.737369
3450.0,0.756315
3455.0,0.749975
3460.0,0.733645
3465.0,0.727955
3470.0,0.728680
3475.0,0.727379
3480.0,0.723588
3485.0,0.719396
3490.0,0.719137
3495.0,0.725717
3500.0,0.734106
3505.0,0.738527
3510.0,0.709173
3515.0,0.713508
3520.0,0.707979
3525.0,0.710598
3530.0,0.726822
3535.0,0.746367
3540.0,0.760090
3545.0,0.762209
3550.0,0.760400
3555.0,0.750809
3560.0,0.742452
3565.0,0.715368
3570.0,0.690263
3575.0,0.682480
3580.0,0.679825
3585.0,0.674231
3590.0,0.685502
3595.0,0.711787
3600.0,0.726574
3605.0,0.718096
3610.0,0.694754
3615.0,0.690014
3620.0,0.697821
3625.0,0.726131
3630.0,0.728209
3635.0,0.719974
3640.0,0.726606
3645.0,0.724263
3650.0,0.734696
3655.0,0.766937
3660.0,0.781525
3665.0,0.780878
3670.0,0.769745
3675.0,0.760631
3680.0,0.745623
3685.0,0.745525
3690.0,0.758730
3695.0,0.772845
3700.0,0.779446
3705.0,0.753738
3710.0,0.766871
3715.0,0.813638
3720.0,0.810793
3725.0,0.811911
3730.0,0.814137
3735.0,0.803655
3740.0,0.881692
3745.0,0.825902
3750.0,0.763490
3755.0,0.901635
3760.0,0.969398
3765.0,0.889878
3770.0,0.797367
3775.0,0.957196
3780.0,1.165683
3785.0,1.167774
3790.0,1.022994
3795.0,0.858769
3800.0,0.869913
3805.0,1.058752
3810.0,1.220791
3815.0,1.255710
3820.0,1.213684
3825.0,1.049168
3830.0,0.854817
3835.0,0.771886
3840.0,0.922903
3845.0,1.154515
3850.0,1.303805
3855.0,1.348221
3860.0,1.356071
3865.0,1.375138
3870.0,1.348068
3875.0,1.268340
3880.0,1.124456
3885.0,0.895253
3890.0,0.804842
3895.0,0.988425
3900.0,1.199119
3905.0,1.316857
3910.0,1.397188
3915.0,1.445407
3920.0,1.415349
3925.0,1.209861
3930.0,0.898947
3935.0,0.925654
3940.0,1.220512
3945.0,1.339162
3950.0,1.343686
3955.0,1.286588
3960.0,1.118111
3965.0,0.814238
3970.0,0.681659
3975.0,0.947456
3980.0,1.245301
3985.0,1.382954
3990.0,1.435562
3995.0,1.461605
4000.0,1.493427
4005.0,1.519467
4010.0,1.546242
4015.0,1.571995
4020.0,1.587317
4025.0,1.564750
4030.0,1.539678
4035.0,1.578588
4040.0,1.610655
4045.0,1.585807
4050.0,1.567131
4055.0,1.526628
4060.0,1.507883
4065.0,1.498733
4070.0,1.484000
4075.0,1.425872
4080.0,1.383807
4085.0,1.380788
4090.0,1.307261
4095.0,1.070800
4100.0,0.863368
4105.0,0.972679
4110.0,1.211475
4115.0,1.354261
4120.0,1.403965
4125.0,1.417651
4130.0,1.428716
4135.0,1.487114
4140.0,1.535186
4145.0,1.536102
4150.0,1.527931
4155.0,1.509964
4160.0,1.523584
4165.0,1.521098
4170.0,1.478586
4175.0,1.449781
4180.0,1.470163
4185.0,1.499954
4190.0,1.529723
4195.0,1.508842
4200.0,1.475361
4205.0,1.503124
4210.0,1.539160
4215.0,1.530455
4220.0,1.496707
4225.0,1.444436
4230.0,1.454048
4235.0,1.462394
4240.0,1.482916
4245.0,1.467491
4250.0,1.458723
4255.0,1.489605
4260.0,1.500361
4265.0,1.493824
4270.0,1.453309
4275.0,1.463218
4280.0,1.488689
4285.0,1.450002
4290.0,1.401922
4295.0,1.382421
4300.0,1.352118
4305.0,1.347392
4310.0,1.345322
4315.0,1.344264
4320.0,1.336488
4325.0,1.289524
4330.0,1.186399
4335.0,0.966782
4340.0,0.798134
4345.0,0.933748
4350.0,1.151554
4355.0,1.298684
4360.0,1.381737
4365.0,1.412370
4370.0,1.401239
4375.0,1.409402
4380.0,1.418196
4385.0,1.398714
4390.0,1.418443
4395.0,1.419133
4400.0,1.423914
4405.0,1.443155
4410.0,1.451451
4415.0,1.429941
4420.0,1.430449
4425.0,1.441747
4430.0,1.447535
4435.0,1.445487
4440.0,1.441294
4445.0,1.432116
4450.0,1.438026
4455.0,1.409401
4460.0,1.397838
4465.0,1.400780
4470.0,1.418765
4475.0,1.426636
4480.0,1.396516
4485.0,1.403567
4490.0,1.412517
4495.0,1.435432
4500.0,1.449970
4505.0,1.461932
4510.0,1.464595
4515.0,1.448734
4520.0,1.412069
4525.0,1.372690
4530.0,1.347852
4535.0,1.388429
4540.0,1.418391
4545.0,1.378762
4550.0,1.326393
4555.0,1.338424
4560.0,1.378160
4565.0,1.402466
4570.0,1.404545
4575.0,1.392039
4580.0,1.357095
4585.0,1.343855
4590.0,1.363152
4595.0,1.373885
4600.0,1.383044
4605.0,1.396823
4610.0,1.407089
4615.0,1.402966
4620.0,1.394633
4625.0,1.389967
4630.0,1.376942
4635.0,1.376509
4640.0,1.379702
4645.0,1.368927
4650.0,1.363994
4655.0,1.380657
4660.0,1.390013
4665.0,1.360967
4670.0,1.343874
4675.0,1.363449
4680.0,1.379162
4685.0,1.386604
4690.0,1.375067
4695.0,1.364193
4700.0,1.343101
4705.0,1.334339
4710.0,1.338586
4715.0,1.351006
4720.0,1.363819
4725.0,1.350061
4730.0,1.332026
4735.0,1.325856
4740.0,1.332289
4745.0,1.336525
4750.0,1.329033
4755.0,1.312904
4760.0,1.294935
4765.0,1.284123
4770.0,1.293798
4775.0,1.300237
4780.0,1.299673
4785.0,1.294640
4790.0,1.289695
4795.0,1.289979
4800.0,1.285117
4805.0,1.274039
4810.0,1.275216
4815.0,1.270482
4820.0,1.251019
4825.0,1.236193
4830.0,1.226506
4835.0,1.204262
4840.0,1.173095
4845.0,1.134186
4850.0,1.047438
4855.0,0.874967
4860.0,0.734495
4865.0,0.809343
4870.0,0.974855
4875.0,1.065864
4880.0,1.115951
4885.0,1.143005
4890.0,1.159683
4895.0,1.195961
4900.0,1.221045
4905.0,1.228970
4910.0,1.225293
4915.0,1.209363
4920.0,1.187860
4925.0,1.198300
4930.0,1.228330
4935.0,1.223810
4940.0,1.224184
4945.0,1.241340
4950.0,1.251877
4955.0,1.237503
